post,value
"18. 11. 16.  6:24  <직원 미인증>  똥개처럼 부림 당하는 의원실 남자 인턴들, 온갖 궂은 일만 도맡아하는 대다수의 남성 수행비서들 모두 고생 많으십니다. 힘내세요!",<직원 미인증>
"18. 11. 16.  11:52  <직원 인증>  모 의원실 인턴비서입니다.  점심시간에 보좌진들한테 대나무숲 보라고 돌리면서,  여성 만 커피타고 여성 만 정리하는 여성 차별적 문화를 고쳐야 하는거 아니냐고 분개하던 비서님...  여성 차별적 문화가 있는거 저도 동의해요. 여성이 사회적 약자라는 점에도 동의해요. 여성 만 잡일하게 만드는 사회가 저도 싫어요.  근데요...  우리 방 커피는 다 제가 타잖아요. 손님 커피, 보좌관님 커피, 비서관님 커피, 비서님 커피.. 다 제가 타잖아요. 일 하고 있는 사람한테 ""ㅇㅇ씨 커피 좀""이라고 시키시잖아요..  제가 남자라서 억울하다는 말이 아니에요.  여성 차별에 대해 분개하실 때,  직급에 의한 위계관계에 따른 사적 지시에도  분개해주시면 좋겠다는 말이에요.  비서님이 더 직급이 낮던 시기에  어떤 고생을 하셨는지는 모르겠지만, 그 때 여성이기 때문에 차별 당하고 고생하셨다면 그 억울한 시간들에 대해 진심으로 안타까워 하겠지만,  ""나 때는 말이야""와 ""여성에 대한 위압을 반대한다""를  병행하지는 말아주세요.  그건 제가 배운 가치와는 너무 동떨어진 이야기란 말예요..",<직원 인증>
18. 11. 15.  6:16  <직원 미인증>  고상한 척이라도 하는 게 낫다는 걸 알게 되어가는 요즘입니다. 대놓고 천박하게 구시니 모시고 싶은 마음이 바닥나네요.,<직원 미인증>
"18. 11. 15.  11:25  <직원 미인증>  선거때는 전화 문자 하지 말라고 그렇게 얘기를 해도 지겹도록 보내시더니, 면접 결과 꼭 연락 달라는 부탁에 보좌관에 행정비서까지 알겠다고 답해놓고 쌩.. 보좌관님들, 면접자도 돌아서서 나오면 유권자입니다.",<직원 미인증>
18. 11. 14.  8:12  <직원 미인증>  항상 수고가 많으십니다. 국회 인턴비서들 모임이 있나요? 있다면 언제 어디서 하나요? 익명으로 부탁드려요.,<직원 미인증>
18. 11. 14.  4:52  <직원 미인증>  보좌관이 업체 국회대관팀에서 일하고 있는 직원을 사무실로 꽂아넣었는데 이건 좀 아니지 않나?  그것도 상임위관련업체직원을..   무슨 커넥션이 있길래..,<직원 미인증>
18. 11. 14.  3:42  <직원 인증> 정외과나 행정학과출신이 아닌 비서입니다.  국회 정책비서로서의 역량을 강화시키기위해서는  대학원 어느전공을 택하는게 좋을까요?,<직원 인증>
"18. 11. 14.  11:11 <직원 인증> 거 전담이 아무리 냄새 안난다지만, 똥간에서 피우면 냄새 다 납니다 똥냄새보다 더요 시부레",<직원 인증>
"18. 11. 13.  5:08 <직원 인증>  의원님 이메일로 신천지에서 매크로를 돌렸는지 한 4천개 가까이 몇 일동안 쏟아지네요 ㅋㅋㅋㅋㅋㅋ  진짜 짜증납니다. 왜들 그러시는지   미국사는 David입니다.  한국에 대한 관심이 많은 청년으로서 10여년 가까이 한국 문화를 사랑하고.. 이런 형식으로 온갖 외국어로 날아옵니다. 몽골에서 베트남, 러시아에서 프랑스 ㅋㅋㅋㅋㅋ",<직원 인증>
"18. 11. 13.  12:12 <직원 미인증>  차심부름, 전화, 택배 등 잡일은 왜 다 여자들만 하고 있는지...이상한 현상인데 굳어진 관습처럼 당연시되고 있다.  가끔씩은 손님들 차도 가져다주고, 당신들이 먹는 간식택배는 한번이라도 가지러 가본 적 있나.. 담배피러 수십번 왔다갔다 하면서. 전화도 3번 울리면 좀 받으세요..  위 모든것들이 당연히 내 업무가 아니라고 생각하지 마세요. ""잡일=여성의 업무"" 아닙니다.",<직원 미인증>
18. 11. 12.  10:08 <직원 인증>  의원회관 1층 101호 수행휴게실에서 살고있는 아주 높으신 수행아 당신은 그냥 의원 수행이지 의원이 아니야 X선 OO장수행이 마치 자기가 OO장이라도 된듯 휴게실 장악하고 거기서 마치 자기집처럼 살면서 다른수행 깔보지마 창피하다 나이먹고 휴게실이지 너 집이 아니야 짐빼고 당장 나가 넌 그냥 수행일 뿐이야 참 그리고 수행들한테 돈걷어서 당신 방청소시키는것처럼 보이잖아 본인이 휴게실에서 살면 본인이 청소해 양심도없이 거기서 살면서 대장행세하고있어 한심하다 제발 정신차려라 본인이 X선 국회의원 OO장이 아니야,<직원 인증>
"18. 11. 12.  6:35 <직원 인증>  기자""님""들은 왜 국회직원이 아닌데 복지혜택을 누리는 건가요? 기자면 기자지 왜 의원실 상대로 갑질하는건가요? 정정요구해도 넌 짖어라 난 안듣는다는 식인가요? 보좌관님이랑 친한지는 알겠어요...친한건 보좌관님인데 왜 초면인 저한테 반말이세요...그냥 문자 그대로 ""출입""만 해주세요",<직원 인증>
18. 11. 12.  6:02 <직원 인증>  사무처는 제발 일을 하라!!   지난 8월에 국회공무원 제안모집을 하고 10월 초에 발표한다고 해놓고 11월 중순이 되도록 발표를 안하면 어쩌자는 것이냐!!  발표가 늦어지면 늦어진다고 공지라도 해라!!,<직원 인증>
18. 11. 9.  2:25 <직원 미인증>  국회 청소하시는 아주머니들에게 화나요  끝 없이 밀려드는 손님에 자리 지키고 앉아있기도 힘든데  회의실 바닥이며 의원실 바닥이며 제대로 치워지지 않아   제가 틈만나면 청소하는 업무도 하고 있습니다  한번 더 청소해달라 부탁드리면 의원실까지 와서 '깨끗한데?' 등등 혼잣말인지..... 들으라고 하는말인지.....  볼멘소리도 대놓고 하십니다.  깨끗하면 저도 지적받지 않습니다.  전국에 청소하시는 분들의 업무환경과 처우는 개선되어야 한다고 보나  국회 청소 아주머니들은 귀족노동자 라는 생각이 들어요.  사회적인 시선이 청소직을 을 중의 을이라고 생각하지만  국회 청소 직원분들을 보면 복도에서 운동하시고 수다떨고 청소 부탁하면 볼멘소리 하시고..  일부 청소 직원분들만 그러시겠지만 스트레스 엄청 받네요.  저야 곧 나갈 수 밖에 없는 운명이지만..   우리 처지의 부당함을 공론화 하지도 못한체 바뀐 제도 때문에 이곳에서 나가야하고   저들은 불평 불만 다 표현하고 요구하면서 본인들의 고유업무도 대충하고  에효 또  신세한탄으로 끝맺게 되네요..,<직원 미인증>
18. 11. 9.  12:29 <직원 미인증>  이번에 당선된 민주당 보좌진 회장님!! 단독출마하시고 성황리에 당선되셨는데 혹시 당분간 비정상의 정상화를 위해  민주당 의원실은 커피 및 차 심부름은 고정적으로 남자 보좌진 담당으로 하는 건 어떨까요???,<직원 미인증>
18. 11. 8.  11:00 <직원 미인증>  원래 입법보조원 다 이런가요. 월 15만원 주고 설거지 등 잡일 다시키고.. 옆 “방은 과자도 눈치보면서 먹는다” 뭐 나보고 감사하라는 건가... 초코파이밖에 없으면서..12시간은 최소 일하는거 같은데;; 언론에 뿌리고 싶다 진심.. 아 그리고 행정비서님.. 제발 저 좀 그만시켜요. 그만 불러요. 스스로 좀... 불러서 가보면 진짜 이걸 왜 부르지 싶을정도의 것들 수두룩.. 담배피러 나가면 30분씩 안들어오고. 그러고 보좌관님 커피타러 가는거 보면 찡하기도 하고. 내리 갈굼.. 같은건가... 나름 스카이 나와서 입법에 꿈을 갖고 온 곳인데. 좀 해도 해도 너무 하다는 생각 가끔 드네요. 다른 방도 다 이런가요??,<직원 미인증>
18. 11. 8.  10:54 <직원 미인증>  아니 국회가 법 제일 안지켜. 하루 아침에 짤리질 않나. 퇴직금 연차 휴가도 없어. 최저시급은 ㅈ도 안지켜주고. 이래놓고 노동법 만드는거 보면 진짜 양심도 없으셔 ㅡㅡ,<직원 미인증>
18. 11. 8.  10:15 <직원 인증>  그동안 대나무 숲에 올라오는 글들 중에서 여성 차별에 대한 글을 읽으며 여성인 저조차 이렇게 생각했습니다 “너네가 능력을 키워야지” 그런데 오늘 수없이 찾아오는 손님들 차를 타다가 온수에 손을 데었습니다  화들짝 놀란것보다 욕이 먼저 나왔습니다  시발 내가 지금 뭘하고 있지?? 선의로 했던 손님 대접은 여성의 역할로 굳어지고 있구나 라고 느꼈습니다  같은 보좌진인데.. 하는 일이 다르지 않는데 ......  마치 저는 유령인듯 제 앞을 지나쳐 남자 보좌진에게 가는 손님들은 악의가 없을 겁니다  사회적 규범에 따라 처신했겠지요  무엇이 옳고 무엇이 그르고의 문제가 아니라는 생각이 들었습니다  보수적인 한국 사회에서 더 보수적인 공무직에서 여성의 역할은 이렇게 굳어져서 스스로도 자각하지 못하고 나타나는 것이라는 생각이 들었습니다  권력의 가장 가까운 자리인 보좌진의 영역에서 이런 일을 먼저 깨뜨려야 한다는 생각이 들지만  솔직히 말해서 가장 무서운건 여자 보좌진 입니다  이런 벽을 뛰어넘으려는 여자 보좌진을 누르는 여자 보좌진이 사실 더 어렵습니다  그래서 제가 제안하는 건. 같은 방 안에서 여자 보좌진들 먼저 서로 관습과 차별을 철폐하는 방향을 세우는 건 어떨까요??,<직원 인증>
18. 11. 8  5:31 <직원 인증>  사무실에 상사 꼰대놈 하나가 자꾸 지 손님 불러놓고  직원들한테 차 한잔 내주라 던져놓고 회의실 들어가는데  ㅅㅂ 이것도 하루 이틀이지 니 손님을 왜 우리가 챙기냐 니 손님은 니가 챙겨라 니가 의원이냐 개념 탑재좀 해라,<직원 인증>
18. 11. 6  10:59 <직원 인증>  국회는 참 이상한 곳이다...떠나고 싶은 사람도 많은 만큼 돌아오고 싶은 사람도 많은 곳이다...나도 국회 생활을 한지 2년이 지났지만 항상 사직서를 가슴에 품고 산다는 말이 공감이 아니라 현실이 되었다...다들 국회에 다닌다고하면 대단하다고 좋겠다고 한다....하지만 정작 내 일은 사무실 잡무 전반이다....내 가치는 내가 만들어 간다고 하지만 일을 열심히하면 할수록 늘어나는 것은 잡무와 관들이 하기싫어하는 귀찮아하는 일들만쌓인다...일을 하면서 요즘엔 관두고싶은 마음이 하늘을 찔러 욱하는 마음에 얄미운 말들은 받아치기도… 더 보기 하지만 변하는건 없다....받아칠때마다 돌아오는건 싸가지없는 놈이라는 눈초리뿐 ㅎㅎ내 자리는 여전히 끝자리 손님들이 잘보이는 곳이고 나는 그냥 관들의 비서이다...  내가 쉽게 그만두지 못하는건 돈때문이기도 하지만 국회에서 만난 소중한 인연들과 아직 버리지 못하고 남아있는 의원실에 대한 미련이다...그 동안 좋은꼴 안좋은꼴 같이 보면서 쌓아온 정이라는게 무섭다...언제까지 참을 수 있을지는 모르겠지만 오늘도 내일을 기약하며 퇴근한다...겨울의 하늘은 정말 까맣다 그리고 나는 참 힘들다...내일의 나도 힘들겠지....내일의 나도 오늘처럼 화장실에 가서 눈시울을 붉히겠지....사회는 참 어렵다,<직원 인증>
18. 11. 5.  12:06 <직원 인증>  휴게실..이불....두 개 썼으면...상식껏 나중에 제자리에 가져다놔야 하는거 아니야..? 그게 그렇게 어려워요...? 왜 다른사람들이 피해를봐야해요...?...????응...??? 왜그러는거야 누가그러는거야...? 왜 몇명때문에 다수가 피해를봐야하는거야...?   그리고 수유실이나 화장실있어서 중간문 설치한 휴게실은 문을 닫고다녀야 정상아니야..?응..?? 소음 차단하라고 만든 문을 왜 열어재끼고다녀요..? 문 닫는게 힘든거야..? 아님 이유가있는거야..?   심지어 며칠전엔 어떤 직원분 고가물품 훼손도 하고 튀었다며..? 작정하고 훼손한것 같던데 정말 대단한 인성이야..  남들한테 피해주는 사람들은 도대체 무슨 정신으로 사는거야..? 진짜궁금해.. 상습비매너님들 대답해줘.. 아무리생각해도 이해가 안가서그래..  우리 유치원생.아니잖아..,<직원 인증>
투고시간 가림 요청<직원 인증>  인간적으로  떠나야하는 인턴  11월에는 좀 부려먹지말자,<직원 인증>
"18. 11. 2.  10:37  <직원 인증>  오갈때 마다 보이는 국회보 디스플레이 이중인격 영감 들의 자화자찬 대향연 전혀 와닿지 않는 '말씀'들 가식적인 '칭찬합시다' 이런거 말고, 매주 가명으로 '고발합니다' 이런거 게재하면  아마 국회보는 돈 주고도 못살건데",<직원 인증>
"18. 11. 2.  12:18  <직원 인증>  의원실 전체회식 뒤에 음주운전이라니.... 그니까 바꿔 말하면 그 방 직원들은 자기네 영감이 면허취소될 수준으로 술자시고 운전대 잡는데, 말리지도 않고 대리도 안부르고 가만히 구경만 하고 있었다는 얘기가 하고싶으신건가요? 난 그 상황이 도저히 납득이 안되는데?",<직원 인증>
"18. 11. 1.  10:33  <직원 인증>  최근의 통근버스 논란을 보며 느끼는 점.  여기 사람들 다 똑같다. 안그런척 하면서 타겟 하나 정해지면 비난하고 비방하는거 너어무너무 좋아한다. 사랑하는것 같다. 평판조회 무서워서, 뒷말 나오는거 무서워서, 기자들 귀에 들어갈까봐 무서워서 어디에 말도못하고 대숲에 제보하는것 마저 어렵다더니  실명을 드러낸 먹잇감이 나타나자마자 카톡에서 시끌시끌 게시판에서 시끌시끌 익명의 힘을 빌어 페이스북에서도 시끌시끌.  통근버스에 대한 내 생각은 아직 결론내지 못했다. 직원복지 차원에서 그게 뭐가 문제냐는 쪽에 더 무게가 실리고 있다만..… 더 보기 그래도 국회 밖에서 보는 시각엔 다른 견해도 존재할테니까.  논란 자체에 대한 찬반의견은 뒤로하고 내 시선이 집중되는 쪽은 익명들의 반응이다. 비아냥거림이 난무하는걸 보니 왜 그렇게 무섭다무섭다 바들바들 떠는지 알것같다. 자기가 하는 행동을 너무나도 잘 알고 있어서 그런거였다. 자기 입과 손이 평소에 어떤지 잘 알면서도 고칠 생각은 추호도 없어서였다.  살아남기 위해 어쩔 수 없는거라는 변명은 하지말자. 설득력없다.",<직원 인증>
"18. 11. 1.  10:11  <직원 인증>  ""직원들이 편하게 1시간 일찍 출근하게 만드는 건 상을 주고 늘려도 모자랄 판에 왜 없애라고 하냐?""  .....이게 '상식적'이어서,  님은 1시간 '일찍' 출근해 일하세요? ㅋㅋㅋ 늦지나 마세요- 이런저런 핑계대면서",<직원 인증>
"18. 11. 1.  10:06  <직원 인증>  회관 주차장이 차별이라니...갖다댈걸 갖다대라 주차장이 있고 없고에 따라, 차없는 사람에게 무슨 비용이 부담 가냐? 셔틀버스 탈 수 있는 사람은, 못타는 사람에 비해 교통비 아끼잖아 그냥 곱해도 하루에 1천원씩만 아껴도, 1년이면 대략 곱하기 240일- 계산 나오지?  이렇게들... 지능이 부족해서야",<직원 인증>
18. 11. 1.  9:23  <직원 인증>  오늘아침 노들길에서 국회로 올라오는 오르막길에서 줄서있는 차들 제치고 앞질러 가신 94*9 검정색 그랜저xg차주분... 회관 지하주차장으로 들어가신 것으로 보아하니 국회 직원이신 것 같은데요. 거기 차선 하나짜리 길입니다. 거기서 그렇게 막 밀고 들어오시면 안됩니다. 차주님 덕분에 아침부터 사고날뻔했습니다. 제 기억으로 오늘같은 일이 전에도 한번 더 있던 것으로 기억합니다. 차선 준수해주세요. 부탁드립니다.,<직원 인증>
<여의도 옆 대나무숲에서 알려드립니다>  여의도 옆 대나무숲은 원 투고자의 삭제요청이 들어와 해당 투고는 삭제 처리 되었음을 알립니다.,<직원 미인증>
"18. 10. 31.  8:17  <직원 미인증>  통근버스 상황에 따른 지리한 논쟁의 핵심은 통근버스가 다수의 이용 및 비용투입의 최대 효율과 상관없이 존재해야 하는 직원 복지로 보느냐 아니냐의 입장차인데 이게 논쟁으로 합의될 수 있는 부분인지 모르겠네요.  현 상황에 대한 의견대립이 평행선이면 상황 자체에 변화를 가하는게 한가지 방법 아닙니까. 문제제기하신 보좌관님께서 사무처에 요청해 직원 설문이라도 돌리시죠.  통근버스 한달 5만, 체력단련장 한달 2만 처럼 무상의 복지에 평균보다 낮은 비용을 부과하고,  예식장, 어린이집과 같은 비용을 지불하는 복지의 사용자 부담율을 더… 더 보기 높이는 방안에 대한 직원들 생각이 어떤지. 어느정도의 비용증가에도 평균보다 낮은 수준을 유지한다면 사용자들은 감당할 것이고 예산 세이브는 덤. 통근버스의 노선 변경이나 확장, 폐쇄도 탑승자 수 헤아리는 것 보단 훨씬 합리적이 되지 않을까요. 반기단위로 노선 신설 시 필요한 인원 한도 이상 정기권을 선구매하면 신설을 하고 정기권 구매인원이 한도이하가 되면 노선 없애고. 어느 지역의 탑승 인원이 많아지면 노선 다양화하고.  사무처야 버스회사와의 노선, 비용 협의, 직원조율 등 일많아진다고 욕하겠지만.  비용이 발생한다면 복지를 받지 않는 사람들의 불만도 줄일수 있습니다. 꼭 필요하지 않은 서비스에 대한 비용지출은 심리적 진입장벽이니까요. 더구나 평균보다 낮은 비용부과로 인해 사용이 현저히 줄어들 복지라면 없애도 되는거 아닙니까. 무상이 아니면 사용하지 않을 서비스란것은 대체제가 있다는 뜻이니까.",<직원 미인증>
18. 10. 30.  11:03  <직원 인증>  국회 셔틀버스와 관련한 논란을 우리 보좌관님한테 말씀드리니 “직원들이 편하게 1시간 일찍 출근하게 만드는 건 상을 주고 늘려도 모자랄 판에 왜 없애라고 하냐??고 시크하게 말씀하신다. 다행이다 우리 보좌관님이 상식적이어서. 권 **같지 않아서 감사하다^^,<직원 인증>
18. 10. 30.  10:54  <직원 인증>  저는 차도 없고 셔틀을 타기 때문에 앞으로 차를 이용할 계획도 없는데 일부 보좌진들만 회관 주차장을 이용하고 있네요. 지하 5층까지 있는 회관 주차장 운영 및 관리비용은 차 없는 보좌진들에게 차별 아닌가요?? 회관 주차장 사용을 막고 관리비로 사용되는 돈을 나눠서 전 직원에게  공평하게 나눠 주세요!!!! (권** 부끄러운 줄 알아라!!),<직원 인증>
"18. 10. 30.  9:17  <직원 인증>  국회는 왜 서울에 있나요? 전 부산 사는데, 서울 인근사람만 국회에 다닐 수 있도록 서울에 있는건 차별 아닌가요? 전 국회라는 직장을 전혀 선택할 수 없게 되는건데 문제가 심각합니다. 수도권에 사람들 많이 산다고 국회를 서울에 두는건 차별이죠. 국토의 균형발전에도 어긋나고 말이죠.  그리고 전 여성인데 보좌관들은 왜 그렇게 남성이 대부분인가요? 여성은 왜 잘 안 뽑나요? 보좌관들은 비서관들보다 일도 많이 안하면서 월급도 많다면서요? 차별이 정말 심각하네요. 난 여성으로 선택해서 태어난게 아닌데요.  전 그리고 장애인에 대한 복지가… 더 보기 너무 싫어요. 난 장애인도 아니고 내가 일부러 장애를 선택하지도 않을것인데(서울로 이사가지 않을 것처럼) 왜 그들에게만 배려하나요? 특정 소수를 위해 돈을 쓰는건 차별 아닌가요? 국회에도 장애인을 위한 배려시설도 많고 심지어 공무원은 장애인을 위해 따로 공무원을 뽑기도 한다죠? 차별이 심각합니다.   그리고 부양가족이 많으면 월급도 더 주고, 선택적복지 비용도 많다죠? 저는 가족이 저 혼자예요. 결혼도 안했고, 나중에 아이를 많이 나을 생각도 없고 부모도 안계세요. 제가 모시기 싫어서 안 모시는게 아니예요. 근데 왜 일부 사람들에게만 돈을 더 주죠? 전 부모 안계신걸 선택할 수 없었어요.   국회는 정말 차별투성이군요.",<직원 인증>
"18. 10. 30.  7:21  <직원 인증>  주차장은 왜 필요하니 나는 차 없는데, 밖에 주차장 이용해 흡연실은 왜 필요하니 나는 담배 안 피는데, 밖에  흡연실 이용해 숙직실은 왜 필요하니 나는 안 자는데, 여관가서 자 샤워실, 목욕탕은 왜 필요하니, 밖에 사설 목욕탕가 ....  너는 허구헌날 업무시간에 페북질하고 남일 참견하느라 일안하는데 나는 너보다 늦게 퇴근하고 일도 많이 하는데 보좌관이라고 왜 니가 월급 더 받니?  월급 똑같이 주던가 니가 적게 받어  너는 왜 의원실 경비 밥먹고 술먹는데 더 쓰니? 나는 안먹는데  더 할까?  말이야 방구야?  진짜 논란 그지같네..",<직원 인증>
